City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
190,Gravdal,NO,2019-11-30 02:00:58,59.79,5.78,39.2,80,36,11.41
191,Nome,US,2019-11-30 02:00:59,30.04,-94.42,72.0,94,90,6.93
192,Tynda,RU,2019-11-30 02:00:59,55.15,124.74,-5.1,88,100,1.05
193,College,US,2019-11-30 02:00:59,64.86,-147.8,26.6,100,90,3.91
194,Dixon,US,2019-11-30 02:01:00,38.45,-121.82,50.0,70,20,6.93
195,Port Blair,IN,2019-11-30 02:01:00,11.67,92.75,83.73,77,76,17.07
196,Madisonville,US,2019-11-30 01:59:46,37.33,-87.5,44.01,100,90,4.7
197,Rosarito,CO,2019-11-30 02:01:00,4.91,-75.23,73.4,88,75,4.7
198,Yeppoon,AU,2019-11-30 02:01:00,-23.13,150.74,86.0,37,40,6.93
199,Teeli,RU,2019-11-30 02:01:01,51.01,90.2,8.11,65,1,6.11
200,Inuvik,CA,2019-11-30 02:01:01,68.36,-133.71,17.6,92,90,2.24
201,Esmeraldas,BR,2019-11-30 02:01:01,-19.76,-44.31,73.4,88,75,3.36
202,Rauma,FI,2019-11-30 02:01:02,61.13,21.5,24.8,92,20,4.7
203,Flinders,AU,2019-11-30 02:01:03,-34.58,150.85,75.99,53,71,8.05
204,Zhaoqing,CN,2019-11-30 02:01:03,23.05,112.47,66.63,50,76,6.02
205,Castro,CL,2019-11-30 02:01:03,-42.48,-73.76,50.0,87,90,3.36
206,Peniche,PT,2019-11-30 02:01:03,39.36,-9.38,62.01,93,75,8.05
207,Oktyabrskiy,RU,2019-11-30 02:01:04,55.61,37.97,35.6,93,90,11.18
208,Kidal,ML,2019-11-30 02:01:04,18.44,1.41,69.96,15,0,11.16
209,Kununurra,AU,2019-11-30 02:01:04,-15.77,128.74,95.0,50,0,8.05
210,Norwich,GB,2019-11-30 02:01:04,52.63,1.29,36.0,93,0,3.36
211,Quatre Cocos,MU,2019-11-30 02:01:04,-20.21,57.76,75.2,94,75,3.36
212,Codrington,AU,2019-11-30 02:01:05,-28.95,153.24,95.0,30,99,12.75
213,Poronaysk,RU,2019-11-30 02:01:05,49.22,143.1,25.03,54,0,15.82
214,Cherskiy,RU,2019-11-30 02:01:05,68.75,161.3,-5.82,93,100,12.75
215,Carnarvon,ZA,2019-11-30 02:01:05,-30.97,22.13,61.09,20,12,9.26
216,Makakilo City,US,2019-11-30 02:01:05,21.35,-158.09,84.2,65,75,8.05
217,Auki,NG,2019-11-30 02:01:06,12.18,6.51,71.13,20,0,9.69
218,Panzhihua,CN,2019-11-30 02:01:06,26.59,101.72,60.01,51,0,0.92
219,Tazovskiy,RU,2019-11-30 02:01:06,67.47,78.7,-4.13,97,100,18.68
220,Durban,CA,2019-11-30 02:01:06,51.93,-101.44,13.57,96,98,4.99
221,Itoman,JP,2019-11-30 02:01:06,26.12,127.67,71.6,56,75,14.99
222,Mezen,RU,2019-11-30 02:01:07,65.85,44.24,35.53,98,100,18.25
223,Deputatskiy,RU,2019-11-30 02:01:07,69.3,139.9,-17.63,92,0,4.09
224,Cayenne,GF,2019-11-30 02:01:07,4.94,-52.33,78.8,88,0,1.12
225,Bull Savanna,JM,2019-11-30 02:01:07,17.89,-77.59,65.23,90,0,6.15
226,Saint-Joseph,FR,2019-11-30 02:01:08,43.56,6.97,55.0,81,0,2.24
227,Sao Geraldo Do Araguaia,BR,2019-11-30 02:01:08,-6.4,-48.55,76.37,83,20,0.98
228,Nemuro,JP,2019-11-30 02:01:08,43.32,145.57,33.8,43,40,5.82
229,Namatanai,PG,2019-11-30 02:01:08,-3.66,152.44,84.31,70,73,8.05
230,Kondagaon,IN,2019-11-30 02:01:09,19.59,81.66,72.41,63,0,1.41
231,Havelock,US,2019-11-30 01:56:19,34.88,-76.9,46.0,75,1,3.36
232,Inongo,CD,2019-11-30 02:01:09,-1.93,18.29,73.44,91,97,1.9
233,Yumen,CN,2019-11-30 02:01:09,40.29,97.04,27.64,38,88,16.11
234,Sorland,NO,2019-11-30 02:01:10,67.67,12.69,32.18,62,74,31.09
235,Pevek,RU,2019-11-30 02:01:10,69.7,170.27,0.05,93,100,7.54
236,Kavieng,PG,2019-11-30 02:01:10,-2.57,150.8,83.46,74,61,7.43
237,Bambous Virieux,MU,2019-11-30 02:01:10,-20.34,57.76,75.2,94,75,3.36
238,Fare,PF,2019-11-30 02:01:11,-16.7,-151.02,82.15,77,83,9.57
239,Sidney,US,2019-11-30 02:01:11,47.72,-104.16,28.99,92,90,10.29
240,Moussoro,TD,2019-11-30 02:01:11,13.64,16.49,75.78,14,2,12.39
241,Norman Wells,CA,2019-11-30 02:01:11,65.28,-126.83,17.6,92,90,3.36
242,Aklavik,CA,2019-11-30 02:01:11,68.22,-135.01,17.6,92,90,2.24
243,Namibe,AO,2019-11-30 02:01:12,-15.19,12.15,72.16,83,100,10.56
244,Kaitangata,NZ,2019-11-30 02:01:12,-46.28,169.85,54.99,88,100,20.09
245,Goya,AR,2019-11-30 02:01:13,-29.14,-59.27,75.6,62,0,5.84
246,Qasigiannguit,GL,2019-11-30 02:01:13,68.82,-51.19,26.6,73,52,12.75
247,General Pico,AR,2019-11-30 02:01:14,-35.66,-63.75,60.94,23,0,5.64
248,Mhlume,SZ,2019-11-30 02:01:14,-26.03,31.81,66.0,89,62,6.4
249,Illela,NG,2019-11-30 02:01:14,12.25,4.3,72.73,19,42,9.53
250,Vostok,RU,2019-11-30 02:01:15,46.45,135.83,13.37,73,0,3.71
251,Aquiraz,BR,2019-11-30 02:01:15,-3.9,-38.39,86.0,74,20,9.17
252,Mount Isa,AU,2019-11-30 02:01:15,-20.73,139.49,98.6,27,23,6.93
253,Kruisfontein,ZA,2019-11-30 02:01:16,-34.0,24.73,56.68,87,0,6.51
254,Tigil,RU,2019-11-30 02:01:16,57.8,158.67,14.68,91,100,10.36
255,Wajir,KE,2019-11-30 02:01:16,1.75,40.07,76.41,80,66,9.15
256,Anchorage,US,2019-11-30 01:57:40,61.22,-149.89,41.0,82,90,10.47
257,Manggar,ID,2019-11-30 02:01:17,-2.88,108.27,85.06,63,87,3.78
258,Port Hardy,CA,2019-11-30 02:01:17,50.7,-127.42,28.4,92,20,3.36
259,Igarka,RU,2019-11-30 02:01:17,67.47,86.57,-24.7,91,31,6.98
260,Yaan,NG,2019-11-30 02:01:17,7.38,8.57,75.69,42,0,3.04
261,Maymyo,MM,2019-11-30 02:01:17,22.03,96.47,68.0,77,0,2.24
262,Saldanha,PT,2019-11-30 02:01:17,41.42,-6.55,51.58,95,53,10.83
263,Gamba,CN,2019-11-30 02:01:18,28.28,88.52,16.21,55,80,6.62
264,Den Helder,NL,2019-11-30 02:01:18,52.96,4.76,42.8,80,100,2.24
265,Kodiak,US,2019-11-30 02:01:18,39.95,-94.76,37.99,93,90,11.41
266,Kaeo,NZ,2019-11-30 02:01:18,-35.1,173.78,79.0,74,2,11.97
267,Nikolskoye,RU,2019-11-30 02:01:19,59.7,30.79,39.0,93,90,6.71
268,Beyneu,KZ,2019-11-30 02:01:19,45.32,55.19,33.89,59,89,14.58
269,Ozernovskiy,RU,2019-11-30 02:01:19,51.5,156.52,28.13,66,100,25.43
270,Nishihara,JP,2019-11-30 02:01:19,35.74,139.53,55.0,43,20,10.29
271,Cabadiangan,PH,2019-11-30 02:01:19,10.45,123.98,84.2,70,20,16.11
272,Wageningen,NL,2019-11-30 02:01:20,51.98,5.66,39.0,84,1,3.36
273,Kontagora,NG,2019-11-30 02:01:20,10.4,5.47,75.4,19,31,6.73
274,Pangnirtung,CA,2019-11-30 02:01:20,66.15,-65.72,12.85,94,98,2.39
275,Marihatag,PH,2019-11-30 02:01:21,8.8,126.3,83.43,73,97,19.66
276,Kurilsk,RU,2019-11-30 02:01:21,45.23,147.88,29.05,70,86,22.32
277,Torrington,US,2019-11-30 02:01:21,42.06,-104.18,32.0,92,90,11.41
278,Leeton,AU,2019-11-30 02:01:21,-34.55,146.4,64.99,55,75,14.99
279,Kolyvan,RU,2019-11-30 02:01:22,55.31,82.74,14.0,85,90,6.71
280,Alamogordo,US,2019-11-30 02:00:27,32.9,-105.96,48.99,75,90,3.36
281,Urucara,BR,2019-11-30 02:01:22,-2.54,-57.76,80.04,65,3,1.9
282,Urengoy,RU,2019-11-30 02:01:22,65.96,78.37,-5.01,97,100,19.39
283,Ketchikan,US,2019-11-30 02:01:22,55.34,-131.65,35.6,79,1,5.82
284,San Pedro,AR,2019-11-30 02:01:23,-33.68,-59.66,66.0,88,74,1.99
285,Faya,SA,2019-11-30 02:01:23,18.39,42.45,51.8,53,18,3.74
286,Cap Malheureux,MU,2019-11-30 02:01:23,-19.98,57.61,75.2,94,75,3.36
287,Kemin,KG,2019-11-30 02:01:24,42.79,75.7,21.38,32,0,7.31
288,Ovsyanka,RU,2019-11-30 02:01:24,53.58,126.91,-7.98,91,99,3.71
289,Healdsburg,US,2019-11-30 02:01:25,38.61,-122.87,46.4,70,1,0.11
290,Sotnikovo,RU,2019-11-30 02:01:25,51.88,107.48,-0.4,84,75,4.92
291,Byron Bay,AU,2019-11-30 02:01:25,-28.65,153.62,95.0,65,2,24.16
292,Siocon,PH,2019-11-30 02:01:25,11.03,124.04,83.55,65,96,14.43
293,Egvekinot,RU,2019-11-30 02:01:25,66.32,-179.17,8.89,95,100,7.63
294,Kahului,US,2019-11-30 01:56:32,20.89,-156.47,82.4,54,40,21.92
